Instruccion incorrecta,Instruccion correcta
"bltu rd, rs1, address","bltu rd, rs1, address"
"bltu rd, rs1, address","bltu rd, rs1, address"
"srli rd, rs1, imm","srli rd, rs1, imm"
"rem rd, rs1","rem rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
jr rd,jr rd
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"bne rd, rs1","bne rd, rs1, address"
"xor rd, rs1","xor rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"fle.s rd, rs1","fle.s rd, rs1, rs2"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
"slti rd, rs1","slti rd, rs1, imm"
"mulu rd, rs1","mulu rd, rs1, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"ori rd, rs1","ori rd, rs1, imm"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"li rd, imm","li rd, imm"
"sll rd, rs1","sll rd, rs1, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"blt rd, rs1, address","blt rd, rs1, address"
"and rd, rs1","and rd, rs1, rs2"
"and rd, rs1, rs2","and rd, rs1, rs2"
"la rd, imm","la rd, imm"
"ori rd, rs1, imm","ori rd, rs1, imm"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"slli rd, rs1","slli rd, rs1, imm"
"srl rd, rs1","srl rd, rs1, rs2"
"ori rd, rs1, imm","ori rd, rs1, imm"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"srli rd, rs1, imm","srli rd, rs1, imm"
"addi rd, rs1","addi rd, rs1, imm"
"slt rd, rs1","slt rd, rs1, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"andi rd, rs1","andi rd, rs1, imm"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"bltu rd, rs1, address","bltu rd, rs1, address"
"mul rd, rs1","mul rd, rs1, rs2"
"ori rd, rs1, imm","ori rd, rs1, imm"
"srli rd, rs1, imm","srli rd, rs1, imm"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"div rd, rs1, rs2","div rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"lbu rd, imm","lbu rd, imm, rs2"
"slti rd, rs1","slti rd, rs1, imm"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"divu rd, rs1","divu rd, rs1, rs2"
"blt rd, rs1","blt rd, rs1, address"
jr rd,jr rd
"bgeu rd, rs1","bgeu rd, rs1, address"
"sll rd, rs1","sll rd, rs1, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"srl rd, rs1","srl rd, rs1, rs2"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"fle.s rd, rs1","fle.s rd, rs1, rs2"
"mv rd, rs","mv rd, rs"
"addi rd, rs1, imm","addi rd, rs1, imm"
"blt rd, rs1","blt rd, rs1, address"
"ori rd, rs1, imm","ori rd, rs1, imm"
"mulu rd, rs1","mulu rd, rs1, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"blt rd, rs1, address","blt rd, rs1, address"
ja rd,"ja rd, address"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"div rd, rs1","div rd, rs1, rs2"
"mulh rd, rs1","mulh rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"sltu rd, rs1","sltu rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"add rd, rs1","add rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"sw rd, imm","sw rd, imm, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"mv rd, rs","mv rd, rs"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
j imm,j imm
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"sh rd, imm, rs2","sh rd, imm, rs2"
"blt rd, rs1","blt rd, rs1, address"
"slti rd, rs1, imm","slti rd, rs1, imm"
"addi rd, rs1, imm","addi rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"ori rd, rs1, imm","ori rd, rs1, imm"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"mulh rd, rs1","mulh rd, rs1, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"lbu rd, imm","lbu rd, imm, rs2"
"slt rd, rs1","slt rd, rs1, rs2"
"blt rd, rs1","blt rd, rs1, address"
ja rd,"ja rd, address"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"srai rd, rs1","srai rd, rs1, imm"
"ori rd, rs1","ori rd, rs1, imm"
j imm,j imm
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"and rd, rs1","and rd, rs1, rs2"
"slli rd, rs1","slli rd, rs1, imm"
li rd,"li rd, imm"
"addi rd, rs1","addi rd, rs1, imm"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"mulh rd, rs1, rs2","mulh rd, rs1, rs2"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
ja rd,"ja rd, address"
"srli rd, rs1, imm","srli rd, rs1, imm"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"slti rd, rs1, imm","slti rd, rs1, imm"
li rd,"li rd, imm"
"or rd, rs1","or rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"srai rd, rs1","srai rd, rs1, imm"
"flw rd, imm, rs2","flw rd, imm, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"lb rd, imm","lb rd, imm, rs2"
"sw rd, imm, rs2","sw rd, imm, rs2"
"rem rd, rs1","rem rd, rs1, rs2"
"beq rd, rs1","beq rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"beq rd, rs1","beq rd, rs1, address"
"sh rd, imm, rs2","sh rd, imm, rs2"
"and rd, rs1, rs2","and rd, rs1, rs2"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"lh rd, imm, rs2","lh rd, imm, rs2"
mv rd,"mv rd, rs"
"mulu rd, rs1","mulu rd, rs1, rs2"
ja rd,"ja rd, address"
"mv rd, rs","mv rd, rs"
"slti rd, rs1","slti rd, rs1, imm"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"lw rd, imm","lw rd, imm, rs2"
"lw rd, imm, rs2","lw rd, imm, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"bne rd, rs1","bne rd, rs1, address"
"and rd, rs1, rs2","and rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"or rd, rs1","or rd, rs1, rs2"
"sltu rd, rs1","sltu rd, rs1, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"div rd, rs1","div rd, rs1, rs2"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
jr rd,jr rd
"xori rd, rs1","xori rd, rs1, imm"
"srl rd, rs1","srl rd, rs1, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"xori rd, rs1, imm","xori rd, rs1, imm"
"blt rd, rs1","blt rd, rs1, address"
"slli rd, rs1, imm","slli rd, rs1, imm"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"srl rd, rs1","srl rd, rs1, rs2"
"or rd, rs1","or rd, rs1, rs2"
"flw rd, imm","flw rd, imm, rs2"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"mv rd, rs","mv rd, rs"
j imm,j imm
"slli rd, rs1","slli rd, rs1, imm"
"lh rd, imm","lh rd, imm, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
"sb rd, imm, rs2","sb rd, imm, rs2"
"mulu rd, rs1","mulu rd, rs1, rs2"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"xori rd, rs1","xori rd, rs1, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"ja rd, address","ja rd, address"
"bltu rd, rs1","bltu rd, rs1, address"
ja rd,"ja rd, address"
"bne rd, rs1, address","bne rd, rs1, address"
"or rd, rs1","or rd, rs1, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"lh rd, imm","lh rd, imm, rs2"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"sh rd, imm, rs2","sh rd, imm, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"bne rd, rs1","bne rd, rs1, address"
"lw rd, imm, rs2","lw rd, imm, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"sw rd, imm","sw rd, imm, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"sll rd, rs1","sll rd, rs1, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"la rd, imm","la rd, imm"
"addi rd, rs1, imm","addi rd, rs1, imm"
"bgeu rd, rs1","bgeu rd, rs1, address"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"xor rd, rs1","xor rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"add rd, rs1","add rd, rs1, rs2"
"slli rd, rs1, imm","slli rd, rs1, imm"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"li rd, imm","li rd, imm"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"mv rd, rs","mv rd, rs"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
ja rd,"ja rd, address"
"lh rd, imm","lh rd, imm, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"bge rd, rs1","bge rd, rs1, address"
"xori rd, rs1, imm","xori rd, rs1, imm"
"sltu rd, rs1","sltu rd, rs1, rs2"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
mv rd,"mv rd, rs"
"bge rd, rs1","bge rd, rs1, address"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"lw rd, imm, rs2","lw rd, imm, rs2"
"sll rd, rs1","sll rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"lw rd, imm","lw rd, imm, rs2"
"slli rd, rs1","slli rd, rs1, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"mulu rd, rs1","mulu rd, rs1, rs2"
"srai rd, rs1","srai rd, rs1, imm"
"slli rd, rs1, imm","slli rd, rs1, imm"
"mul rd, rs1","mul rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"div rd, rs1","div rd, rs1, rs2"
jr rd,jr rd
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"or rd, rs1","or rd, rs1, rs2"
"lh rd, imm","lh rd, imm, rs2"
"srl rd, rs1, rs2","srl rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
jr rd,jr rd
"slti rd, rs1, imm","slti rd, rs1, imm"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"and rd, rs1, rs2","and rd, rs1, rs2"
"divu rd, rs1","divu rd, rs1, rs2"
"slli rd, rs1","slli rd, rs1, imm"
"bltu rd, rs1, address","bltu rd, rs1, address"
j imm,j imm
"lw rd, imm","lw rd, imm, rs2"
"lw rd, imm","lw rd, imm, rs2"
jr rd,jr rd
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
ja rd,"ja rd, address"
j imm,j imm
"la rd, imm","la rd, imm"
jr rd,jr rd
"la rd, imm","la rd, imm"
"bne rd, rs1","bne rd, rs1, address"
"mulh rd, rs1","mulh rd, rs1, rs2"
"lh rd, imm","lh rd, imm, rs2"
"srli rd, rs1, imm","srli rd, rs1, imm"
"beq rd, rs1","beq rd, rs1, address"
"slli rd, rs1","slli rd, rs1, imm"
"sltu rd, rs1","sltu rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"ori rd, rs1","ori rd, rs1, imm"
jr rd,jr rd
"lb rd, imm, rs2","lb rd, imm, rs2"
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"sw rd, imm","sw rd, imm, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"sw rd, imm","sw rd, imm, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
"sll rd, rs1","sll rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"ori rd, rs1, imm","ori rd, rs1, imm"
"slt rd, rs1","slt rd, rs1, rs2"
"add rd, rs1","add rd, rs1, rs2"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"divu rd, rs1","divu rd, rs1, rs2"
"xor rd, rs1","xor rd, rs1, rs2"
"srl rd, rs1","srl rd, rs1, rs2"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
"lw rd, imm","lw rd, imm, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"xori rd, rs1, imm","xori rd, rs1, imm"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
mv rd,"mv rd, rs"
"srli rd, rs1","srli rd, rs1, imm"
"sb rd, imm","sb rd, imm, rs2"
"lb rd, imm, rs2","lb rd, imm, rs2"
"and rd, rs1","and rd, rs1, rs2"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"or rd, rs1","or rd, rs1, rs2"
"lh rd, imm","lh rd, imm, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"sltu rd, rs1","sltu rd, rs1, rs2"
"li rd, imm","li rd, imm"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
"sll rd, rs1","sll rd, rs1, rs2"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
"srl rd, rs1","srl rd, rs1, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"lb rd, imm","lb rd, imm, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"lw rd, imm","lw rd, imm, rs2"
li rd,"li rd, imm"
"mulu rd, rs1","mulu rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"bltu rd, rs1, address","bltu rd, rs1, address"
"mulh rd, rs1","mulh rd, rs1, rs2"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"lbu rd, imm","lbu rd, imm, rs2"
"lh rd, imm","lh rd, imm, rs2"
"blt rd, rs1","blt rd, rs1, address"
"mulh rd, rs1","mulh rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"srli rd, rs1","srli rd, rs1, imm"
"lhu rd, imm","lhu rd, imm, rs2"
jr rd,jr rd
"div rd, rs1, rs2","div rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"srai rd, rs1","srai rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"mulh rd, rs1, rs2","mulh rd, rs1, rs2"
li rd,"li rd, imm"
"and rd, rs1","and rd, rs1, rs2"
"flw rd, imm, rs2","flw rd, imm, rs2"
"bge rd, rs1","bge rd, rs1, address"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"ori rd, rs1","ori rd, rs1, imm"
"divu rd, rs1","divu rd, rs1, rs2"
"bne rd, rs1","bne rd, rs1, address"
j imm,j imm
"fmsub.s rd, rs1, rs2, rs3","fmsub.s rd, rs1, rs2, rs3"
"flw rd, imm, rs2","flw rd, imm, rs2"
"andi rd, rs1, imm","andi rd, rs1, imm"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"li rd, imm","li rd, imm"
"div rd, rs1","div rd, rs1, rs2"
"srl rd, rs1","srl rd, rs1, rs2"
"divu rd, rs1","divu rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"or rd, rs1","or rd, rs1, rs2"
"ori rd, rs1","ori rd, rs1, imm"
mv rd,"mv rd, rs"
"addi rd, rs1","addi rd, rs1, imm"
"slli rd, rs1, imm","slli rd, rs1, imm"
mv rd,"mv rd, rs"
"mv rd, rs","mv rd, rs"
"divu rd, rs1","divu rd, rs1, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
"srai rd, rs1, imm","srai rd, rs1, imm"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"la rd, imm","la rd, imm"
"or rd, rs1, rs2","or rd, rs1, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"bne rd, rs1, address","bne rd, rs1, address"
"feq.s rd, rs1, rs2","feq.s rd, rs1, rs2"
"beq rd, rs1, address","beq rd, rs1, address"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"lhu rd, imm, rs2","lhu rd, imm, rs2"
"mulu rd, rs1","mulu rd, rs1, rs2"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"beq rd, rs1","beq rd, rs1, address"
"lbu rd, imm","lbu rd, imm, rs2"
"xori rd, rs1","xori rd, rs1, imm"
"ja rd, address","ja rd, address"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"ori rd, rs1","ori rd, rs1, imm"
"sltiu rd, rs1","sltiu rd, rs1, imm"
"bltu rd, rs1","bltu rd, rs1, address"
"flw rd, imm","flw rd, imm, rs2"
"lw rd, imm, rs2","lw rd, imm, rs2"
"sll rd, rs1, rs2","sll rd, rs1, rs2"
"div rd, rs1, rs2","div rd, rs1, rs2"
"slti rd, rs1","slti rd, rs1, imm"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"blt rd, rs1, address","blt rd, rs1, address"
"beq rd, rs1","beq rd, rs1, address"
"sra rd, rs1","sra rd, rs1, rs2"
"la rd, imm","la rd, imm"
"sh rd, imm, rs2","sh rd, imm, rs2"
"slt rd, rs1","slt rd, rs1, rs2"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"lw rd, imm","lw rd, imm, rs2"
"sra rd, rs1","sra rd, rs1, rs2"
"div rd, rs1","div rd, rs1, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"bltu rd, rs1","bltu rd, rs1, address"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"bge rd, rs1","bge rd, rs1, address"
"mulu rd, rs1","mulu rd, rs1, rs2"
"srli rd, rs1, imm","srli rd, rs1, imm"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"mv rd, rs","mv rd, rs"
"mul rd, rs1","mul rd, rs1, rs2"
"flt.s rd, rs1, rs2","flt.s rd, rs1, rs2"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"lb rd, imm, rs2","lb rd, imm, rs2"
"srli rd, rs1","srli rd, rs1, imm"
"sw rd, imm, rs2","sw rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"blt rd, rs1","blt rd, rs1, address"
"slli rd, rs1, imm","slli rd, rs1, imm"
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"bltu rd, rs1, address","bltu rd, rs1, address"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"bne rd, rs1","bne rd, rs1, address"
"bgeu rd, rs1, address","bgeu rd, rs1, address"
li rd,"li rd, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"bge rd, rs1, address","bge rd, rs1, address"
la rd,"la rd, imm"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
la rd,"la rd, imm"
"mulsu rd, rs1, rs2","mulsu rd, rs1, rs2"
j imm,j imm
"sltu rd, rs1","sltu rd, rs1, rs2"
"ori rd, rs1","ori rd, rs1, imm"
"flw rd, imm, rs2","flw rd, imm, rs2"
li rd,"li rd, imm"
"div rd, rs1, rs2","div rd, rs1, rs2"
"blt rd, rs1, address","blt rd, rs1, address"
"xori rd, rs1, imm","xori rd, rs1, imm"
"sub rd, rs1, rs2","sub rd, rs1, rs2"
"div rd, rs1","div rd, rs1, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"fle.s rd, rs1","fle.s rd, rs1, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
mv rd,"mv rd, rs"
"bge rd, rs1","bge rd, rs1, address"
"sll rd, rs1","sll rd, rs1, rs2"
"mul rd, rs1","mul rd, rs1, rs2"
"slli rd, rs1, imm","slli rd, rs1, imm"
"sltu rd, rs1","sltu rd, rs1, rs2"
"feq.s rd, rs1","feq.s rd, rs1, rs2"
"lh rd, imm","lh rd, imm, rs2"
li rd,"li rd, imm"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"lw rd, imm, rs2","lw rd, imm, rs2"
"lb rd, imm","lb rd, imm, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
li rd,"li rd, imm"
"blt rd, rs1, address","blt rd, rs1, address"
"or rd, rs1, rs2","or rd, rs1, rs2"
"flw rd, imm","flw rd, imm, rs2"
"lb rd, imm, rs2","lb rd, imm, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"lh rd, imm, rs2","lh rd, imm, rs2"
"sh rd, imm","sh rd, imm, rs2"
j imm,j imm
"sll rd, rs1","sll rd, rs1, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"lh rd, imm, rs2","lh rd, imm, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
ja rd,"ja rd, address"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"xori rd, rs1, imm","xori rd, rs1, imm"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"bgeu rd, rs1","bgeu rd, rs1, address"
"add rd, rs1, rs2","add rd, rs1, rs2"
"lhu rd, imm","lhu rd, imm, rs2"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"addi rd, rs1","addi rd, rs1, imm"
"fmadd.s rd, rs1, rs2","fmadd.s rd, rs1, rs2, rs3"
"slli rd, rs1","slli rd, rs1, imm"
"bgeu rd, rs1","bgeu rd, rs1, address"
j imm,j imm
"srl rd, rs1","srl rd, rs1, rs2"
"beq rd, rs1, address","beq rd, rs1, address"
"slti rd, rs1, imm","slti rd, rs1, imm"
ja rd,"ja rd, address"
"bltu rd, rs1","bltu rd, rs1, address"
"and rd, rs1, rs2","and rd, rs1, rs2"
jr rd,jr rd
"xori rd, rs1, imm","xori rd, rs1, imm"
"srl rd, rs1","srl rd, rs1, rs2"
j imm,j imm
"beq rd, rs1","beq rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"sra rd, rs1, rs2","sra rd, rs1, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"addi rd, rs1, imm","addi rd, rs1, imm"
"lbu rd, imm, rs2","lbu rd, imm, rs2"
"srai rd, rs1","srai rd, rs1, imm"
"sltiu rd, rs1, imm","sltiu rd, rs1, imm"
"addi rd, rs1, imm","addi rd, rs1, imm"
"mv rd, rs","mv rd, rs"
"fle.s rd, rs1","fle.s rd, rs1, rs2"
li rd,"li rd, imm"
"sltu rd, rs1","sltu rd, rs1, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"mv rd, rs","mv rd, rs"
"lbu rd, imm","lbu rd, imm, rs2"
"xori rd, rs1","xori rd, rs1, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"rem rd, rs1, rs2","rem rd, rs1, rs2"
la rd,"la rd, imm"
"xori rd, rs1","xori rd, rs1, imm"
"and rd, rs1","and rd, rs1, rs2"
"sw rd, imm","sw rd, imm, rs2"
"fsw rd, imm","fsw rd, imm, rs2"
"sltu rd, rs1, rs2","sltu rd, rs1, rs2"
"mv rd, rs","mv rd, rs"
"andi rd, rs1, imm","andi rd, rs1, imm"
"and rd, rs1","and rd, rs1, rs2"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"ori rd, rs1, imm","ori rd, rs1, imm"
